image,popularity_score,is_female,baby,child,teenager,youth,middle_age,senior
1516875_616962581718776_1406472455_a,4.914,1,-1,-1,-1,1,-1,-1
10175177_1401531440120308_1791251909_a_0_8691,4.345,-1,-1,-1,-1,-1,1,-1
10013033_267141560113901_1792403080_a_0_1654,4.992,1,-1,-1,-1,-1,-1,1
10011272_609849712444499_1371743313_a_0_7063,4.091,-1,-1,-1,-1,-1,1,-1
1516665_599760660101765_1421014296_a_0_1479,4.981,1,1,-1,-1,-1,-1,-1
926430_449611311808567_9250781_a,5.158,1,-1,-1,-1,1,-1,-1
1516220_429548453855951_533285983_a_0_3560,4.269,1,1,-1,-1,-1,-1,-1
10175172_465437180255355_1513852407_a_0_7301,4.297,1,1,-1,-1,-1,-1,-1
1171709_725948674103150_784734743_a_0_7646,4.132,1,1,-1,-1,-1,-1,-1
1171625_606596542766357_715663528_a,4.077,1,-1,-1,-1,1,-1,-1
10254181_753995364633111_109551758_a_0_9897,3.686,1,-1,-1,-1,-1,-1,1
1171644_588264921269074_1831482271_a_0_9137,3.404,-1,-1,-1,-1,-1,1,-1
925459_834557103225523_1228624476_a_0_7662,4.101,-1,-1,-1,-1,1,1,1
10013033_267141560113901_1792403080_a_0_4073,4.992,1,-1,-1,-1,-1,-1,1
10175182_1377907209157345_273062070_a_0_3689,4.081,-1,-1,1,-1,-1,-1,-1
1388988_629948787086967_1469843650_a_0_6344,3.887,1,1,-1,-1,-1,-1,-1
10249112_224075891133633_321695951_a_0_8612,4.49,-1,-1,-1,1,-1,-1,-1
10175274_1401687576771528_1429164152_a,4.281,-1,-1,-1,-1,-1,1,-1
10249150_419638444840281_722906858_a,4.624,1,-1,-1,-1,1,-1,-1
1597435_647356678634279_255470466_a,5.371,-1,-1,-1,1,-1,-1,-1
1941236_839133339436150_1405799686_a,4.169,1,-1,-1,-1,1,-1,-1
10009141_222140781318044_1602148506_a_0_1585,5.081,-1,-1,-1,1,-1,-1,-1
1389093_428450150590824_901901016_a_0_9969,4.163,1,1,-1,-1,-1,-1,-1
924963_1465235690376474_310632501_a,4.756,1,-1,-1,-1,1,-1,-1
10251410_292843317538581_1654991454_a_0_6064,4.189,1,1,-1,-1,-1,-1,-1
1515935_277082675799224_568859140_a_0_2994,3.776,-1,-1,-1,-1,-1,1,-1
10251481_1412949105635628_1605702720_a,4.444,1,-1,-1,-1,1,-1,-1
10013033_267141560113901_1792403080_a_0_4721,4.992,1,-1,-1,-1,-1,-1,1
10175382_231515120373238_318786586_a_0_1487,4.037,-1,-1,-1,-1,-1,1,-1
1530623_616867885071564_2045826932_a_0_270,4.882,-1,-1,1,-1,-1,-1,-1
10249115_677530965627394_1900288535_a_0_2350,5.341,1,1,-1,-1,-1,-1,-1
1516689_1412296765699122_2100083670_a_0_2793,4.891,1,1,-1,-1,-1,-1,-1
10013033_267141560113901_1792403080_a_0_9876,4.992,1,-1,-1,-1,-1,-1,1
1663044_1374467052836734_1137913649_a,5.046,-1,-1,-1,1,-1,-1,-1
1170363_690101187719342_442204422_a_0_1363,4.657,-1,-1,1,-1,-1,-1,-1
926433_853033098044123_760774479_a,4.011,-1,-1,-1,-1,-1,1,-1
10012558_678524672186336_310651316_a_0_8870,4.408,-1,-1,-1,1,-1,-1,-1
925459_834557103225523_1228624476_a_0_5573,4.101,-1,-1,-1,-1,1,1,1
1208454_640744409340502_327156708_a_0_2216,4.269,1,1,-1,-1,-1,-1,-1
10013203_782164465142114_361516680_a,3.768,1,-1,-1,-1,1,-1,-1
1172194_284137228420334_533109637_a_0_2568,4.742,-1,-1,-1,-1,-1,1,-1
927278_1414469058813717_1812368948_a_0_1747,4.879,1,1,-1,-1,-1,-1,-1
1172045_608394695896055_1473227570_a,3.221,-1,-1,-1,1,-1,-1,-1
10261219_240471602822837_2041411471_a_0_8854,4.533,-1,-1,1,-1,-1,-1,-1
1515834_1440063709565544_1657632091_a,5.349,1,-1,-1,-1,1,-1,-1
927947_611687088905706_2085084074_a,4.354,1,-1,-1,-1,1,-1,-1
1208454_640744409340502_327156708_a_0_887,4.269,1,1,-1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_2910,5.283,1,-1,-1,-1,-1,-1,1
1527763_267227443450316_1732817921_a,4.401,1,-1,-1,-1,1,-1,-1
1660401_573192426105240_779889641_a_0_2843,4.394,1,1,-1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_3128,5.283,1,-1,-1,-1,-1,-1,1
1388888_450396181760723_1464535753_a_0_6979,5.006,-1,-1,1,-1,-1,-1,-1
10013185_242295202624171_899608882_a_0_6362,3.63,-1,-1,-1,1,-1,-1,-1
10013100_303247059831455_1064719442_a,4.535,1,-1,-1,-1,1,-1,-1
10175218_617626461652906_1113612387_a_0_7051,4.328,-1,-1,-1,1,-1,-1,-1
1527549_313266395494076_1505041508_a_0_9466,3.269,-1,-1,-1,1,-1,-1,-1
10254111_1476899032525270_1188765986_a_0_7387,4.289,-1,-1,-1,1,-1,-1,-1
10249125_260207817494757_893668235_a_0_3038,4.838,-1,-1,-1,1,-1,-1,-1
10251508_601640796598199_699939552_a_0_8336,4.688,-1,-1,1,-1,-1,-1,-1
1516818_767179956634416_2010108335_a_0_711,5.283,1,-1,-1,-1,-1,-1,1
10251426_275850182576954_227993925_a_0_6909,3.181,-1,-1,1,-1,-1,-1,-1
10245977_1392518007694299_1250288384_a_0_7128,4.841,-1,-1,-1,1,-1,-1,-1
10011191_265009960339432_442813018_a_0_5164,3.375,-1,-1,1,-1,-1,-1,-1
10175158_284881741675134_1405053306_a_0_4580,3.92,-1,-1,-1,-1,-1,1,-1
10013209_1402520500023782_298000570_a_0_1293,3.38,1,-1,-1,-1,-1,-1,1
10261175_1399635846980720_1652597284_a,4.1,1,-1,-1,-1,1,-1,-1
10005164_1440463272863278_657789219_a,4.381,-1,-1,-1,1,-1,-1,-1
1530701_1463740997192441_1182750683_a_0_4858,4.581,-1,-1,1,-1,-1,-1,-1
10245977_473859176075576_1922002569_a_0_9841,4.467,-1,-1,1,-1,-1,-1,-1
10012472_268697123309006_227721234_a_0_2601,4.61,-1,-1,1,-1,-1,-1,-1
